nombre,poblacion,area_km2,continente
Comoras,919901,1862.0,África
Benín,13224860,112622.0,África
Estados Unidos,340110988,9372610.0,América
Mayotte,320901,374.0,África
Gambia,2422712,10689.0,África
Uzbekistán,37859698,447400.0,Asia
China,1408280000,9706961.0,Asia
Armenia,3076200,29743.0,Asia
Kosovo,1585566,10908.0,Europa
Francia,68706000,551695.0,Europa
Reunión,896175,2511.0,África
Sri Lanka,21763170,65610.0,Asia
Anguilla,16010,91.0,América
Ciudad del Vaticano,882,0.44,Europa
Colombia,53057212,1141748.0,América
Ucrania,32862000,603500.0,Europa
Djibouti,1066809,23200.0,África
Kirguizistán,7281800,199951.0,Asia
Surinam,616500,163820.0,América
Taiwán,23317031,36193.0,Asia
Burkina Faso,24070553,272967.0,África
Guinea,14363931,245857.0,África
Guayana Francesa,292354,83534.0,América
Países Bajos,18100436,41850.0,Europa
Palau,16733,459.0,Oceanía
Palestina,5483450,6220.0,Asia
Togo,8095498,56785.0,África
Antártida,1300,14000000.0,Antártida
Territorio Británico del Océano Índico,0,60.0,Asia
Rumania,19036031,238391.0,Europa
Hungría,9539502,93028.0,Europa
Vanuatu,321409,12189.0,Oceanía
Corea del Sur,51159889,100210.0,Asia
Mónaco,38423,2.02,Europa
Kenia,53330978,580367.0,África
Islas Faroe,54885,1393.0,Europa
Iran,85961000,1648195.0,Asia
Sint Maarten,41349,34.0,América
Bielorrusia,9109280,207600.0,Europa
Santa Lucía,184100,616.0,América
Estonia,1369995,45227.0,Europa
Argelia,47400000,2381741.0,África
Malta,574250,316.0,Europa
Namibia,3022401,825615.0,África
Sudán del Sur,15786898,619745.0,África
Chipre,1442614,9251.0,Europa
Haití,11867032,27750.0,América
Jersey,103267,116.0,Europa
Líbano,5490000,10452.0,Asia
Liechtenstein,40900,160.0,Europa
Islas Marshall,42418,181.0,Oceanía
Catar,3173024,11586.0,Asia
Nicaragua,6803886,130373.0,América
Maldivas,515132,300.0,Asia
Letonia,1829000,64559.0,Europa
Guinea-Bisáu,1781308,36125.0,África
Portugal,10749635,92090.0,Europa
Guam,153836,549.0,Oceanía
Senegal,18593258,196722.0,África
Islas Georgias del Sur y Sandwich del Sur,0,3903.0,Antártida
Turkmenistán,7057841,488100.0,Asia
Antigua y Barbuda,103603,442.0,América
República Eslovaca,5413813,49037.0,Europa
Ecuador,18103660,276841.0,América
Polinesia Francesa,279500,4167.0,Oceanía
República Centroafricana,6470307,622984.0,África
Malawi,20734262,118484.0,África
Laos,7647000,236800.0,Asia
Islas Pitcairn,35,47.0,Oceanía
Italia,58927633,301336.0,Europa
Georgia,4000921,69700.0,Asia
Polonia,37392000,312679.0,Europa
Wallis y Futuna,11620,142.0,Oceanía
Papúa Nueva Guinea,11781559,462840.0,Oceanía
Níger,26312034,1267000.0,África
Samoa Americana,49710,199.0,Oceanía
Belice,417634,22966.0,América
Alemania,83491249,357114.0,Europa
Eritrea,3607000,117600.0,África
México,130575786,1964375.0,América
Trinidad y Tobago,1367764,5130.0,América
Macao,685900,30.0,Asia
Egipto,107271260,1002450.0,África
Nigeria,223800000,923768.0,África
Dominica,67408,751.0,América
Luxemburgo,681973,2586.0,Europa
España,49315949,505992.0,Europa
Israel,10134800,20770.0,Asia
Singapur,6110200,710.0,Asia
Suecia,10605098,450295.0,Europa
Islandia,391810,103000.0,Europa
Venezuela,28517000,916445.0,América
Kiribati,120740,811.0,Oceanía
Congo (Rep. Dem.),112832000,2344858.0,África
Saint Martin,31496,53.0,América
Reino Unido,69281437,242900.0,Europa
Japón,123210000,377930.0,Asia
Curazao,156115,444.0,América
Mauritania,4927532,1030700.0,África
Libia,7459000,1759540.0,África
Macedonia del Norte,1822612,25713.0,Europa
Gibraltar,38000,6.0,Europa
Uruguay,3499451,181034.0,América
Austria,9200931,83871.0,Europa
Groenlandia,56542,2166086.0,América
Tonga,100179,747.0,Oceanía
Fiyi,900869,18272.0,Oceanía
San Bartolomé,10562,21.0,América
Chequia,10882341,78865.0,Europa
Canadá,41651653,9984670.0,América
Panamá,4064780,75417.0,América
Puerto Rico,3203295,8870.0,América
Irlanda,5458600,70273.0,Europa
Lesotho,2116427,30355.0,África
Nueva Zelanda,5324700,270467.0,Oceanía
Bangladesh,169828911,147570.0,Asia
Sudáfrica,63100945,1221037.0,África
Emiratos Árabes Unidos,11294243,83600.0,Asia
India,1417492000,3287590.0,Asia
Moldavia,2749076,33846.0,Europa
Lituania,2894886,65300.0,Europa
Mauricio,1243741,2040.0,África
Eslovenia,2130638,20273.0,Europa
Chad,19340757,1284000.0,África
Bután,784043,38394.0,Asia
Kuwait,4881254,17818.0,Asia
Malasia,34231700,330803.0,Asia
Azerbaiyán,10241722,86600.0,Europa
Bosnia y Herzegovina,3422000,51209.0,Europa
Islas Salomón,750325,28896.0,Oceanía
Arabia Saudí,35300280,2149690.0,Asia
Dinamarca,6011488,43094.0,Europa
Myanmar,51316756,676578.0,Asia
Niue,1681,260.0,Oceanía
Isla de Norfolk,2188,36.0,Oceanía
Honduras,9892632,112492.0,América
Nueva Caledonia,264596,18575.0,Oceanía
Islas Tokelau,2608,12.0,Oceanía
Filipinas,114123600,342353.0,Asia
Bahamas,398165,13943.0,América
Perú,34350244,1285216.0,América
Tayikistán,10499000,143100.0,Asia
Cabo Verde,491233,4033.0,África
Samoa,205557,2842.0,Oceanía
San Marino,34132,61.0,Europa
Camerún,29442327,475442.0,África
Rusia,146028325,17098242.0,Europa
Islas Vírgenes del Reino Unido,39471,151.0,América
Costa de Marfil,31719275,322463.0,África
Turquía,85664944,783562.0,Europa
Islas Vírgenes de los Estados Unidos,87146,347.0,América
Ghana,33742380,238533.0,África
Bahrein,1594654,765.0,Asia
Camboya,17577760,181035.0,Asia
San Cristóbal y Nieves,51320,261.0,América
Siria,25620000,185180.0,Asia
Tuvalu,10643,26.0,Oceanía
Paraguay,6109644,406752.0,América
Caribe Neerlandés,31980,328.0,América
Somalia,19655000,637657.0,África
Mozambique,34090466,801590.0,África
Nepal,29911840,147181.0,Asia
Etiopía,111652998,1104300.0,África
Kazajistán,20426568,2724900.0,Asia
Albania,2363314,28748.0,Europa
Islas Cocos o Islas Keeling,593,14.0,Asia
República Dominicana,10771504,48671.0,América
Sierra Leone,9077691,71740.0,África
Islas Turks y Caicos,50828,948.0,América
Grenada,109021,344.0,América
Pakistán,241499431,881912.0,Asia
Hong Kong,7527500,1104.0,Asia
Argentina,46735004,2780400.0,América
Vietnam,101343800,331212.0,Asia
Tailandia,65859640,513120.0,Asia
Uganda,45905417,241550.0,África
El Salvador,6029976,21041.0,América
Chile,20206953,756102.0,América
Mali,22395489,1240192.0,África
Bélgica,11825551,30528.0,Europa
Seychelles,122729,452.0,África
Bermudas,64055,54.0,América
Guernsey,64781,78.0,Europa
Isla de Man,84530,572.0,Europa
Zambia,19693423,752612.0,África
Afganistán,43844000,652230.0,Asia
Alandia,30654,1580.0,Europa
Timor Oriental,1391221,14874.0,Oceanía
Suiza,9082848,41284.0,Europa
Ruanda,14104969,26338.0,África
Grecia,10400720,131990.0,Europa
Santo Tomé y Príncipe,209607,964.0,África
Corea del Norte,25950000,120538.0,Asia
Cuba,9748007,109884.0,América
Andorra,88406,468.0,Europa
Finlandia,5650325,338424.0,Europa
Santa Elena Ascensión y Tristán de Acuña,5651,394.0,África
Liberia,5248621,111369.0,África
Indonesia,284438782,1904569.0,Asia
Guadalupe,378561,1628.0,América
Islas Malvinas,3662,12173.0,América
Brasil,213421037,8515767.0,América
Martinica,349925,1128.0,América
Mongolia,3544835,1564110.0,Asia
Australia,27536874,7692024.0,Oceanía
Burundi,12332788,27834.0,África
Isla Bouvet,0,49.0,Antártida
Zimbabue,17073087,390757.0,África
Nauru,11680,21.0,Oceanía
Serbia,6567783,88361.0,Europa
Barbados,267800,430.0,América
Islas Marianas del Norte,47329,464.0,Oceanía
Islas Ultramarinas Menores de Estados Unidos,0,34.2,Oceanía
Islas Cook,15040,236.0,Oceanía
Madagascar,31727042,587041.0,África
San Vicente y Granadinas,110872,389.0,América
Angola,36170961,1246700.0,África
Bolivia,11365333,1098581.0,América
Micronesia,105564,702.0,Oceanía
Jamaica,2825544,10991.0,América
Montserrat,4386,102.0,América
Isla de Navidad,1692,135.0,Asia
Islas Svalbard y Jan Mayen,2530,61399.0,Europa
Guyana,772975,214969.0,América
Islas Caimán,84738,264.0,América
Congo,6142180,342000.0,África
Costa Rica,5309625,51100.0,América
Gabón,2469296,267668.0,África
Noruega,5606944,323802.0,Europa
San Pedro y Miquelón,5819,242.0,América
Irak,46118793,438317.0,Asia
Jordania,11734000,89342.0,Asia
Sudán,51662000,1886068.0,África
Brunei,455500,5765.0,Asia
Montenegro,623327,13812.0,Europa
Botswana,2359609,582000.0,África
Omán,5343630,309500.0,Asia
Aruba,107566,180.0,América
Yemen,32684503,527968.0,Asia
Marruecos,36828330,446550.0,África
Sahara Occidental,600904,266000.0,África
Tanzania,68153004,945087.0,África
Tierras Australes y Antárticas Francesas,400,7747.0,Antártida
Bulgaria,6437360,110879.0,Europa
Guinea Ecuatorial,1668768,28051.0,África
Croacia,3866233,56594.0,Europa
Túnez,11972169,163610.0,África
Guatemala,18079810,108889.0,América
Islas Heard y McDonald,0,412.0,Antártida
Suazilandia,1235549,17364.0,África
